index;level_id;word;quest
1;1;оркестр;Название группы исполнителей, одновременно играющих на разных инструментах.
2;1;квартет;Произведение Крылова, где 4 исполнителя играли вразнобой.
3;1;трио;Музколлектив из 3-х участников.
4;2;кларнет;Какой инструмент украли в знаменитой скороговорке?
5;2;ударные;Как вид музыкальных инструментов возник первым?
6;2;квинтет;Как называется коллектив, состоящий из пяти музыкантов?
7;3;Сергей Михалков;Автор слов к гимну Российской Федерации
8;3;Сергей Есенин;Кто придумал текст романса: «Письмо к матери»?
9;3;Трям Здравствуйте;В каком мультфильме поют об «облаках – белогривых лошадках» 
10;4;скрипка;Каким музыкальным инструментом владел император Александр Первый.
11;4;кларнет;Каким музыкальным инструментом владел император Александр Первый.
12;4;Мадонна;Какая звезда признана Книгой рекордов Гиннеса самой продаваемой певицей всех времен?
13;5;нотная грамота;Система символов и знаков для отображения звука.
14;5;Бременские музыканты;Прозвище музыкальной группы разъезжающих по Германии.
15;5;Приключения Электроника;В каком фильме для детей звучит известная песня «Крылатые качели»?
16;6;аккомпанемент;Как называется сопровождение музыкой мелодию голоса?
17;6;Иоганн Штраус;Его считают королём вальса
18;6;Пётр Чайковский;Кто из композиторов написал цикл «Времена года»?
19;7;Нотный стан;Поверхность, состоящая из пяти линий, на которой изображаются нотные знаки.
20;7;Тамара Миансанова;Кто впервые исполнил песенку «Черный кот»?
21;7;Марк Бернес;Кто исполнитель музыкальной темы: «С чего начинается Родина?»?
22;8;фасоль;Название растения, название которого созвучно с музыкальными нотами.
23;8;гусли;На чем играл Садко?
24;8;Станицы;В соответствии со словами городского романса, они пылают 4-е сутки.
25;9;балалайка;Название этого инструмента состоит из трех слов.
26;9;Скоморох;Его талант заключался в умении придумывать песенки, устраивать представления, искусно играть на любых музыкальных инструментах.
27;9;саксофон;Музыкальный инструмент, который в своем названии содержит имя своего изобретателя?
28;10;Никколо Паганини;Кто заявил о том, что он является коронованной особой скрипки, а гитара — его королевой?
29;10;Иоганн Штраус;Король вальса.
30;10;тональность;Высотное положение лада.
31;10;Романс;Каков песенный жанр произведения «А напоследок я скажу…»?
32;11;Скрипка Ротшильда;Рассказ Чехова, где герой отлично владел струнным «прибором» для воспроизведения музыки при исполнении русских песен.
33;11;Лариса Лужина;Кому Высоцкий посвятил песню о женщине, которая побывала в Париже?
34;11;мелодический;Как называется интервал, звуки которого взяты последовательно?
35;12;Иоганн Непомук Мельцель;Умелец из Германии, который в начале 19 века создал одну из моделей метронома.
36;12;Антон Рубинштейн;Композитор, который стал организатором «Русского общества музыкантов».
37;12;Транспонирующие;Музыкальные инструменты, у которых реальная высота звуков не совпадает с нотированной?
