index;level_id;word;quest
1;1;велогонка;Что такое Тур де Франс?
2;1;клетчатый;Таким флагом машут победителю в гонках.
3;1;яблочко;Так называют самый центр мишени?
4;2;бадминтон;В этом виде спорта используются сетка, ракетка и волан.
5;2;континенты;Что символизируют кольца на Олимпийских играх?
6;2;ракетка;Это используется для ударов по мячу.
7;3;тайсон;Фамилия самого молодого чемпиона мира по боксу в супертяжелом весе?
8;3;греции;Где проходили первые античные Олимпийские игры?
9;3;футбол;"Какой вид спорта наиболее известен как «король спорта»?"""
10;4;сноубординг;В этом виде спорта используются термины «несвежая рыба» и «удар мула».
11;4;футболист;Кто такой Эдсон Арантес ду Насименту.
12;4;германия;В какой стране в последний раз проходили летние и зимние Олимпийские игры в один и тот же год?
13;5;уильямс;Этот спортсмен выиграл больше всего титулов теннисного турнира Большого шлема.
14;5;молоко;Что традиционно пьют победители Indianapolis 500?
15;5;ламотта;Фамилия боксера, о ктором снят фильм «Бешеный бык»?
16;6;бекхэм;"Фамилия первого британского игрока, который выиграл чемпионские титулы в четырех странах"""
17;6;сумоист;Сильнейшего среди этих спортсменов выявляют в круге диаметром 4,5-5 метров.
18;6;мюнхен;Где на Олимпийских играх Марк Шпиц завоевал семь золотых медалей?
19;7;бразилия;Какая страна принимала участие во всех чемпионатах мира по футболу?
20;7;австралия;На олимпийской символике её обозначили кольцом зеленого цвета.
21;7;спидвей;Разновидность Гонок на мотоциклах.
22;8;париж;Какой город первым дважды принимал Олимпиаду?
23;8;египет;Какая африканская страна первой получила право на участие в чемпионате мира?
24;8;хингис;Фамилия самой молодой женщины, которая выиграла турнир Большого шлема по теннису в одиночном разряде?
25;8;серфинг;Этот вид спорта использует природные явления.
26;9;мухаммед;Назовите имя спортсмена века, объявленного в 1999 году престижным американским журналом Sports Illustrated и BBC.
27;9;лакросс;Назовите один из национальных видов спорта в Канаде
28;9;толстой;Фамилия писателя, который увлекался верховой ездой, коньками, гимнастикой, велосипедным спортом?
29;10;румыния;Какую страну представляла в 1971 году Надя Команечи?
30;10;джеймс;Фамилия самого молодого игрока, набравшего 10 000 очков в НБА?
31;10;скелетон;Езда на санях в положении лёжа на животе.
32;11;гаррос;Фамилия человека в честь, которого назван стадион, где проводится Открытый чемпионат Франции по теннису.
33;11;гребля;В каком виде спорта известный педиатр и писатель Бенджамин Спок выиграл золотую олимпийскую медаль?
34;11;керлинг;Этот вид спорта изпользует силу трения.
35;12;детройт;Какой единственный город США выиграл три из четырех крупных чемпионатов по профессиональному спорту в один и тот же год?
36;12;навратилова;Фамилия спортсмена, который выиграл больше всего титулов подряд на Уимблдоне в одиночном разряде.
37;12;суворов;Фамилия полководца, который занимался закаливанием своего организма?
