index;level_id;word;quest
1;1;фараон;Название верховной власти в Древнем Египте.
2;1;грозный;Назовите прозвище первого русского царя.
3;1;городки;Какую игру один из великих полководцев утвердил как часть программы военной подготовки?
4;2;рыцарь;Как в средние века называли владельцев поместий, нёсших военную службу?
5;2;невский;Как прозвали князя Александр Ярославовича?
6;2;император;Какой титул получил Наполеон?
7;3;баллада;Жанр произведений о приключениях Робина Гуда:
8;3;ярославль;В этом городе находится старейший из ныне существующих в России театров.
9;3;новгород;В каком городе проходили «Вече»?
10;4;чингизхан;Кто оснавал огромную державу, поработившую Русь?
11;4;колизей;Как назывался огромный амфитеатр Рима?
12;4;пирамида;Название одного из вида захоронений в древнем мире.
13;5;ворошилов;В честь этого советского военочальничка назвали танк.
14;5;будённый;Фамилия командующего легендарной конной армии.
15;5;мемфис;Столица  Древнего Египта
16;6;хеопс;Этому правителю древнего Египта воздвигнута самая высокая пирамида.
17;6;нестор;"""Кто написал «Повесть временных лет»?"
18;6;гомер;Кто написал знаменитые 'Илиаду'?
19;6;зевс;Этому древнегреческому богу были посвящены спортивные игры.
20;7;барбаросса;В честь кого назвали план одной из операции Нацисткой Германии?
21;7;решетников;Фамилия художника, который нарисовал «Опять двойка».
22;7;распутная;Какое прозвище дали императрице Екатерине 2?
23;8;апостол;Какое название было у первой печатной книги в России?
24;8;византия;От кого Россия унаследовала двуглавого орла на гербе?
25;8;посейдон;Этот бог покровительствовал плаванию и судоходству 
26;9;геродот;Этот историк  назвал Египет «дар Нила».
27;9;парфенон;Этот храм  находится на вершине афинского Акрополя.
28;9;клодт;Фамилия скульптора, который является автором четырёх конных групп на Аничковом мосту в Санкт-Петербурге.
29;10;березина;Название реки, на которой состоялась последняя битва Наполеона в России
30;10;дионис;Праздники в честь этого бога дали начало театру.
31;10;перов;Фамилия художника, который нарисовал «Тройка».
32;11;арабеска;Как называется сложный узор, созданный на основе математического расчёта?
33;11;нефертити;Женщина, скульптура которой является символом красоты, гармонии и естественности.
34;11;меровинги;К какой королевской династии принадлежал Карл Великий?
35;12;городище;Так называли место жилья людей, обнесенное оградой
36;12;волчица;Кто по легенде выкормил основателей Древнего Рима?
37;12;суриков;Фамилия художника, который нарисовал «Утро стрелецкой казни», «Боярыня Морозова».
