index;level_id;type;resource;word;quest
1;1;image;kino_mir/quest_1.jpg;Зелёная миля;Из какого фильма этот кадр?
2;1;image;kino_mir/quest_2.jpg;Один плюс один;Из какого фильма этот кадр?
3;1;image;kino_mir/quest_3.jpg;Побег из Шоушенка;Из какого фильма этот кадр?
4;2;text;kino_mir/quest_4.jpg;василиск;"Змея, которую победил Гарри в фильме""Гарри Поттер и Тайная комната"""
5;2;text;kino_mir/quest_5.jpg;Форрест Гамп;Фильм, где главный герой сам того не замечая, изменил историю США
6;2;text;kino_mir/quest_6.jpg;Интерстеллар;Научно фантастический фильм, в котором люди отправились в кротовую нору, чтобы спасти себя в прошлом
7;3;image;kino_mir/quest_9.jpg;Список Шиндлера;Из какого фильма этот кадр?
8;3;image;kino_mir/quest_7.jpg;Унесенные призраками;Из какого фильма этот кадр?
9;3;image;kino_mir/quest_8.jpg;Властелин колец;Из какого фильма этот кадр?
10;4;text;kino_mir/quest_10.jpg;рецепт суши;Что представляет из себя легендарный зеленый код из «Матрицы»?
11;4;text;kino_mir/quest_12.jpg;Роб Лоу;Какой актер снялся в следующих фильмах: «Изгои», «Мир Уэйна» и «Увалень Томми»?
12;4;text;kino_mir/quest_11.jpg;Новая Зеландия;Где снимали трилогию «Властелин колец»?
13;5;image;kino_mir/quest_14.jpg;Шрек;Из какого фильма этот кадр?
14;5;image;kino_mir/quest_13.jpg;Бойцовский клуб;Из какого фильма этот кадр?
15;5;image;kino_mir/quest_15.jpg;Криминальное чтиво;Из какого фильма этот кадр?
16;6;text;kino_mir/quest_16.jpg;щупальца;У Дэви Джонса вместо левой руки крабовая клешня. А что у него вместо правой руки?
17;6;text;kino_mir/quest_17.jpg;Престиж;В каком фильме рассказывается о противостоянии двух иллюзионистов?
18;6;text;kino_mir/quest_18.jpg;Китай;В какую страну отправился Форрест Гамп на чемпионат по пинг-понгу
19;7;image;kino_mir/quest_21.jpg;Зеленая книга;Из какого фильма этот кадр?
20;7;image;kino_mir/quest_19.jpg;Остров проклятых;Из какого фильма этот кадр?
21;7;image;kino_mir/quest_20.jpg;Достучаться до небес;Из какого фильма этот кадр?
22;8;text;kino_mir/quest_23.jpg;Марлон Брандо;Кто из известных актеров пробовался на роль Рэндла Патрика МакМерфи, но не утвердился?
23;8;text;kino_mir/quest_22.jpg;Тёмный рыцарь;За роль в каком фильме актёр Хит Леджер получил Оскар?
24;8;text;kino_mir/quest_24.jpg;убийство жены;За что Энди Дюфрейн, главный герой фильма «Побег из Шоушенка», попал в тюрьму?
25;9;image;kino_mir/quest_27.jpg;Жизнь прекрасна;Из какого фильма этот кадр?
26;9;image;kino_mir/quest_25.jpg;Большой куш;Из какого фильма этот кадр?
27;9;image;kino_mir/quest_26.jpg;Гладиатор;Из какого фильма этот кадр?
28;10;text;kino_mir/quest_30.jpg;Италия;Какую страну первой посетила главная героиня фильма «Ешь, молись, люби», чтобы переосмыслить свою жизнь?
29;10;text;kino_mir/quest_29.jpg;Твист;Знаменитый танец Джона Траволты и Умы Турман в фильме «Криминальное чтиво».
30;10;text;kino_mir/quest_28.jpg;Амели;Этот французский фильм показывает идеальный Париж глазами тихой мечтательной девушки
31;11;image;kino_mir/quest_32.jpg;Крик тишины;Из какого фильма этот кадр?
32;11;image;kino_mir/quest_33.jpg;Судьба человека;Из какого фильма этот кадр?
33;11;image;kino_mir/quest_31.jpg;Пианист;Из какого фильма этот кадр?
34;12;text;kino_mir/quest_35.jpg;машинист;Для какого фильма Кристиану Бэйлу пришлось экстремально худеть на 30 килограммов?
35;12;text;kino_mir/quest_36.jpg;Эдит Пиаф;О какой известной личности рассказывается в фильме «Жизнь в розовом цвете»?
36;12;text;kino_mir/quest_34.jpg;Хилари Суэнк;В фильме «Малышка на миллион» главную роль сыграла
37;13;image;kino_mir/quest_39.jpg;Одержимость;Из какого фильма этот кадр?
38;13;image;kino_mir/quest_37.jpg;Отступники;Из какого фильма этот кадр?
39;13;image;kino_mir/quest_38.jpg;двенадцать разгневанных мужчин;Из какого фильма этот кадр?
40;14;text;kino_mir/quest_41.jpg;Аполло Крид;С каким бойцом Рокки Бальбоа сражается на ринге в фильме «Рокки»?
41;14;text;kino_mir/quest_42.jpg;Марлон Брандо;Кто сыграл Дона Корлеоне в «Крестном отце»?
42;14;text;kino_mir/quest_40.jpg;Миссия невыполнима;Серия фильмов про спецагента Итана Ханта — это главный герой
43;15;image;kino_mir/quest_45.jpg;Дело храбрых;Из какого фильма этот кадр?
44;15;image;kino_mir/quest_43.jpg;Пятый элемент;Из какого фильма этот кадр?
45;15;image;kino_mir/quest_44.jpg;Крестный отец;Из какого фильма этот кадр?
