index;level_id;type;resource;word;quest
1;1;image;kino_rus/quest_1.jpg;Ирония судьбы;Из какого фильма этот кадр?
2;1;image;kino_rus/quest_2.jpg;Дневной дозор;Из какого фильма этот кадр?
3;1;image;kino_rus/quest_3.jpg;Чёрная молния;Из какого фильма этот кадр?
4;2;text;kino_rus/quest_4.jpg;Чебурашка;Самый кассовый фильм за всю историю Российского кино
5;2;text;kino_rus/quest_5.jpg;Антон Городецкий;КАк зовут главного героя из «Дозоров»?
6;2;text;kino_rus/quest_6.jpg;Калининград;Из какого города сирота Варя в фильме «Ёлки»?
7;3;image;kino_rus/quest_7.jpg;Девятая рота;Из какого фильма этот кадр?
8;3;image;kino_rus/quest_8.jpg;Ночной дозор;Из какого фильма этот кадр?
9;3;image;kino_rus/quest_9.jpg;Последний богатырь;Из какого фильма этот кадр?
10;4;text;kino_rus/quest_10.jpg;Светлаков;Кого приглашает вести свадебную церемонию отец невесты в фильме «Горько»?
11;4;text;kino_rus/quest_11.jpg;Харламов;Какому спортсмену посвящен фильм «Легенда №17»?
12;4;text;kino_rus/quest_12.jpg;Дед Мороз;В кого наряжаются для совершения ограбления преступники в фильме «Бедная Саша»?
13;5;image;kino_rus/quest_13.jpg;Движение вверх;Из какого фильма этот кадр?
14;5;image;kino_rus/quest_14.jpg;Время первых;Из какого фильма этот кадр?
15;5;image;kino_rus/quest_15.jpg;Брестская крепость;Из какого фильма этот кадр?
16;6;text;kino_rus/quest_16.jpg;Мороженое;Что Геша должен был вручить детям Сени в кинокомедии «Бриллиантовая рука»?
17;6;text;kino_rus/quest_17.jpg;Народный театр;Какое место объединяет героев фильма «Берегись автомобиля»?
18;6;text;kino_rus/quest_18.jpg;Раиса Захаровна;Кто из героев кинофильма «Любовь и голуби» утверждал, что сахар это сладкий яд?
19;7;image;kino_rus/quest_19.jpg;Бриллиантовая рука;Из какого фильма этот кадр?
20;7;image;kino_rus/quest_20.jpg;Служебный роман;Из какого фильма этот кадр?
21;7;image;kino_rus/quest_21.jpg;Карнавальная ночь;Из какого фильма этот кадр?
22;8;text;kino_rus/quest_22.jpg;Любовь и голуби;Во время съёмок какого фильма, чуть не утонул Василий Кузякин?
23;8;text;kino_rus/quest_23.jpg;Берегись автомобиля;Как называется советский фильм, рассказавший зрителю о «честном воре»?
24;8;text;kino_rus/quest_24.jpg;Никулин;Какой советский актер снялся в главной роли в фильме «Ко мне, Мухтар»?
25;9;image;kino_rus/quest_25.jpg;Джентельмены удачи;Из какого фильма этот кадр?
26;9;image;kino_rus/quest_26.jpg;Собачье сердце;Из какого фильма этот кадр?
27;9;image;kino_rus/quest_27.jpg;Кавказская пленница;Из какого фильма этот кадр?
28;10;text;kino_rus/quest_28.jpg;Наутилус Помпилиус;Съемки клипа какой группы случайно срывает Данила Багров в фильме Брат?
29;10;text;kino_rus/quest_29.jpg;Могила экипажа;Где прячут найденные ими в танке неповреждённые боевые снаряды Ивушкин и его команда в фильме «Т-34»?
30;10;text;kino_rus/quest_30.jpg;Даун Хаус;Экранизация Идиота Достоевского с Охлобыстиным 
31;11;image;kino_rus/quest_31.jpg;Ирония судьбы;Из какого фильма этот кадр?
32;11;image;kino_rus/quest_32.jpg;Жестокий романс;Из какого фильма этот кадр?
33;11;image;kino_rus/quest_33.jpg;Небеса обетованные;Из какого фильма этот кадр?
34;12;text;kino_rus/quest_34.jpg;Летят журавли;Единственный советский фильм получивший приз Каннского кинофестиваля 
35;12;text;kino_rus/quest_35.jpg;морфий;Какое произведение Михаила Булгакова не было экранизировано советским кинематографом, но экранизировано российским
36;12;text;kino_rus/quest_36.jpg;Свадьба;На что идёт Остап Бендер, чтобы получить стул у мадам Грицацуевой?
37;13;image;kino_rus/quest_37.jpg;Ширли-мырли;Из какого фильма этот кадр?
38;13;image;kino_rus/quest_38.jpg;интердевочка;Из какого фильма этот кадр?
39;13;image;kino_rus/quest_39.jpg;город зеро;Из какого фильма этот кадр?
40;14;text;kino_rus/quest_40.jpg;Горький;Произведения какого писателя взял за основу режиссёр Эмиль Лотяну при создании фильма «Табор уходит в небо»?
41;14;text;kino_rus/quest_42.jpg;Быков;Кто сыграл главную роль в советской комедии «Максим Перепелица»?
42;14;text;kino_rus/quest_41.jpg;Письмоносица;Кем работала героиня Любови Орловой в известном советском кинофильме «Волга-Волга»?
43;15;image;kino_rus/quest_43.jpg;Солярис ;Из какого фильма этот кадр?
44;15;image;kino_rus/quest_44.jpg;Сталкер;Из какого фильма этот кадр?
45;15;image;kino_rus/quest_45.jpg;Андрей Рублев;Из какого фильма этот кадр?
46;16;text;kino_rus/quest_46.jpg;Лютый;Прозвище персонажа Смойлянинова в 9 роте?
47;16;text;kino_rus/quest_47.jpg;Воробей;Прозвище персонажа Чадова в 9 роте?
48;16;text;kino_rus/quest_48.jpg;Джоконда;Прозвище персонажа Крюкова в 9 роте?
49;17;image;kino_rus/quest_49.jpg;Хардкор;Из какого фильма этот кадр?
50;17;image;kino_rus/quest_50.jpg;Жмурки;Из какого фильма этот кадр?
51;17;image;kino_rus/quest_51.jpg;Война;Из какого фильма этот кадр?
52;18;text;kino_rus/quest_52.jpg;Утомленные солнцем;Этот российский фильм боролся за оскар, но проиграл Криминальному чтиву.
53;18;text;kino_rus/quest_53.jpg;Шмайсер;Из какого автомата расстреливает бандитов Данила багров в Брате 2? 
54;18;text;kino_rus/quest_54.jpg;пулемёт максим;Из какого оружия Виктор расстреливает машину в переулке? 
55;19;image;kino_rus/quest_55.jpg;Турецкий гамбит;Из какого фильма этот кадр?
56;19;image;kino_rus/quest_56.jpg;Сибирский цирюльник;Из какого фильма этот кадр?
57;19;image;kino_rus/quest_57.jpg;Хрусталев машину;Из какого фильма этот кадр?
58;20;image;kino_rus/quest_60.jpg;Быстрее чем кролики;Из какого фильма этот кадр?
59;20;image;kino_rus/quest_58.jpg;День выборов;Из какого фильма этот кадр?
60;20;image;kino_rus/quest_59.jpg;День радио;Из какого фильма этот кадр?
