index;level_id;word;quest
1;1;косовары;Как называют жителей Косово?
2;1;фазенда;Так называеют крупное поместье в нектороых  странах мира.
3;1;русло;Так называют углубление, по которому течёт поток воды.
4;2;израиль;Страна, которую называют «земля обетованная».
5;2;компас;Этот прибор использует свойство магнитов.
6;2;конго;Какая река дважды пересекает экватор?
7;3;патрик;Святой, который покровительствует Ирландии.
8;3;круиз;Одно из разновидностей путешествия.
9;3;саванна;Где растёт знаменитое растение баобаб?
10;4;исландия;Страна пламени и льда.
11;4;индонезия;Страна из тысячи островов.
12;4;агломерация;Так называю скопление мелких пригородов вокруг центрального города.
13;5;джомолунгма;Самая высокая вершина?
14;5;гренландия;Зеленая автономная территория Дании.
15;5;бразилия;Страна «зеленого золота» и «золотых плодов».
16;6;беринг;Этого путешественника называют русским Колумбом?
17;6;финляндия;Страна, где «тысячи озер».
18;6;турция;Страна, считающаяся хлебной корзиной мира.
19;6;водопад;Это природное явление является излюбленной точкой для фотографов и туристов.
20;7;дежнев;Кто открыл пролив между Америкой и Азией?
21;7;канада;Страна, которую называют «большой деревней».
22;7;египет;Столица какой страны расположена на реке Нил?
23;8;триполи;Как называется столица Ливии?
24;8;румыния;Какое государство названо по имени столицы иного государства?
25;8;швейцария;Какая страна, не имеет выхода к морю, но относится к бассейнам 4-х морей.
26;9;рейкьявик;Самая северная столица Европы.
27;9;танганьика;Озеро, лежащее в тектонической трещине на высоте 773 метров.
28;9;титикака;Озеро, в котором одна половина с пресной водой, а вторая – с соленой.
29;10;лиссабон;Какую столицу основал Одиссей после того, как уехал из Трои?
30;10;вельвичия;Растение в Африке со стволом в 50 см и листьями по 3 метра.
31;10;атлас;Молодые горы, граничащие с пустыней Сахарой.
32;11;кейптаун;Третий, по количеству жителей, город в ЮАР.
33;11;виктория;Исследовтель Ливингстон открыл этот водопад.
34;11;амстердам;Изначально Нью-Йорк был назван в честь этого города.
35;12;стамбул;Какой город располагается в двух частях света и ранее являлся столицей трех империй?
36;12;балхаш;Название самого высокогорного в мире озера.
37;12;оймякон;Какое самое холодное место в России?
