index;level_id;type;resource;music;word;quest;random_sort
1;1;music;bg_scene/bg_klassik.jpg;klassika/Tchaikovsky_balet_shelkunchik.ogg;Щелкунчик;Из какого балета эта композиция Петра Чайковского?;6706
2;1;music;bg_scene/bg_klassik.jpg;klassika/vagner_polyot_valkiriy.ogg;Полёт Валькирий;Как называется эта композиция Рихарда Вагнера?;89790
3;1;music;bg_scene/bg_klassik.jpg;klassika/volfgang_Mozart_2.ogg;Моцарт;Кто написал эту композицию?;30898
4;2;music;bg_scene/bg_klassik.jpg;klassika/mocart_tureckiy_march.ogg;Турецкий марш;Как называется эта композиция Вольфганга Моцарта?;27369
5;2;music;bg_scene/bg_klassik.jpg;klassika/prokofiev_tanec_ricarey.ogg;Танец рыцарей;Как называется эта композиция Сергея Прокофьева?;74449
6;2;music;bg_scene/bg_klassik.jpg;klassika/Alfred_Schnittke_Waltz.ogg;Шнитке;КТо написал этот вальс?;28850
7;3;music;bg_scene/bg_klassik.jpg;klassika/edvard_grig.ogg;Григ;Кто написал эту композицию?;36962
8;3;music;bg_scene/bg_klassik.jpg;klassika/Tchaikovsky_lebedinoye_ozero.ogg;Лебединое озеро;Из какого балета эта композиция Петра Чайковского?;27188
9;3;music;bg_scene/bg_klassik.jpg;klassika/prokofiev_romans_stv.ogg;Прокофьев;Кто написал этот романс?;43094
10;4;music;bg_scene/bg_klassik.jpg;klassika/Rakhmaninov_vokaliz.ogg;Рахманинов;Кто написал этот вокализ?;19508
11;4;music;bg_scene/bg_klassik.jpg;klassika/mocart_rondo.ogg;Моцарт;Кто написал эту композицию?;73025
12;4;music;bg_scene/bg_klassik.jpg;klassika/Philip_Glass_Walk_to_School.ogg;Филип Гласс;Кто написал эту композицию?;49152
13;5;music;bg_scene/bg_klassik.jpg;klassika/bethove_lunnaya_sonata.ogg;Лунная Соната;Как называется эта композиция?;82476
14;5;music;bg_scene/bg_klassik.jpg;klassika/Rahmaninov_italyanskaya_polka.ogg;Итальянская полька;Как называется эта композиция Сергея Рохманинова?;85173
15;5;music;bg_scene/bg_klassik.jpg;klassika/rimskiy-korsakov_polyot_shmelya.ogg;Римский-Корсаков;Кто написал «полёт шмеля»?;39021
16;6;music;bg_scene/bg_klassik.jpg;klassika/v_peshere_gornogo_korolya.ogg;В пещере горного короля;Как называется эта композиция Эдварда Грига?;50242
17;6;music;bg_scene/bg_klassik.jpg;klassika/shopin_walts.ogg;Шопен;КТо написал этот вальс?;18607
18;6;music;bg_scene/bg_klassik.jpg;klassika/camil_sen-sans_lebed.ogg;Камиль Сен-Санс;Кто написал эту композицию?;18817
19;7;music;bg_scene/bg_klassik.jpg;klassika/bethoven.ogg;Бетховен;Кто написал эту композицию?;73534
20;7;music;bg_scene/bg_klassik.jpg;klassika/shopin_nocturn.ogg;Шопен;Кто написал этот ноктюрн?;27447
21;7;music;bg_scene/bg_klassik.jpg;klassika/kristof_gluk_melody.ogg;Кристоф глюк;Кто написал эту композицию?;45579
22;8;music;bg_scene/bg_klassik.jpg;klassika/bethoven_k_elize.ogg;К элизе;Как называется эта композиция?;47242
23;8;music;bg_scene/bg_klassik.jpg;klassika/prokofiev_petya_i_volk.ogg;Петя и волк;Для какой сказки Сергей Прокофьев написал эту композицию?;20685
24;8;music;bg_scene/bg_klassik.jpg;klassika/Mocart_romans.ogg;Моцарт;Кто написал этот романс?;38155
25;9;music;bg_scene/bg_klassik.jpg;klassika/chaykovskiy_koncert_1.ogg;Чайковский;Кто написал эту композицию?;40250
26;9;music;bg_scene/bg_klassik.jpg;klassika/cluad_debusy_lunniy_svet.ogg;Лунный свет;Как называется эта композиция Клода Дебуси?;11788
