index;level_id;word;quest
1;1;армстронг;Фамилия первого человека, ступившего на луну.
2;1;гагарин;Фамилия первого человека, побывавшего в космосе.
3;1;терешкова;Фамилия первой женщины, побывавшего в космосе.
4;2;атмосфера;Это защищает Землю от метеоритов и солнечной радиации.
5;2;венера;Самая яркое небесное тело, не являющееся звездой.
6;2;восход;Название корабля, с которого Алексей Леонов вышел в открытый Космос.
7;3;меркурий;Это крупное тело ближе всего к солнцу.
8;3;гравитация;Именно это удерживает планеты на устойчивой орбите вокруг Солнца.
9;3;венера;Третий по яркости небесный объект на небе.
10;4;дева;Какое созвездие расположено в самом горячем месте во Вселенной?
11;4;венера;Это небесное тело ближе всего по размеру к Земле.
12;4;марс;На этой планете находится крупнейший каньон.
13;5;кратеры;Атмосфера меркурия разрежена, из-за этого метеороиды оставляют на нём это.
14;5;сатурн;На этом небесном теле идут дожди из алмазов?
15;5;масса;Этим определяется давление и температура в центре звезды.
16;6;андромеда;В честь кого назвали галактику, которую можно увидеть невооруженным глазом?
17;6;метеорит;Этим становится метеор, когда сгорает в атмосфере земли.
18;6;хвостатая;Если перевести слово «комета», то получится именно такая звезда.
19;6;циолковский;Фамилия отца космонавтики.
20;7;полуденная;Как называется линия пересечения плоскости небесного горизонта и меридиана?
21;7;сатурн;Вокруг чего вращается Титан?
22;7;венера;На этом космическом теле больше всего вулканов.
23;8;корона;Как называется внешняя атмосфера Солнца?
24;8;конрад;Фамилия третьего астронавта, ступившего на Луну?
25;8;сириус;Самая яркая звезда неба.
26;9;охотник;В честь него созвездие Орион получило своё название.
27;9;нептун;На этом небесном теле скорость ветра превышает сверхзвуковую.
28;9;перигелий;Ближайшая точка орбиты планеты к Солнцу.
29;10;нейтронная;Эта звезда обладает скоростью вращения в 600 оборотов в секунду.
30;10;близнецы;В каком созвездии находятся звезды Кастор и Поллукс?
31;10;барнарда;Кто открыл звезду с наивысшей скоростью собственного движения?
32;11;каллисто;Название этого спутника, является названием современной компьютерной игры.
33;11;сернан;Фамилия астронавта, который написал инициалы своей дочери на Луне?
34;11;потрескивание;Что несут с собой радиоволны, которые исходят от звёзд?
35;12;эмиссионная;Как называют туманность, излучающее в оптическом диапазоне свет из-за ионизации газа, из которого оно состоит?
36;12;плутон;Название небесного тела, за которым находится облако Оорта?
37;12;олимп;Название самой высокой горы на Марсе.
